333.15	83.00	0.0172
333.15	103.00	0.0172
333.15	138.00	0.0172
333.15	172.00	0.0172
333.15	193.00	0.0172
353.15	41.00	0.0172
353.15	83.00	0.0172
353.15	103.00	0.0172
353.15	138.00	0.0172
353.15	158.00	0.0172
353.15	172.00	0.0172
353.15	213.00	0.0172
353.15	94.90	0.171
353.25	99.40	0.171
353.35	41.30	0.171
353.35	60.20	0.171
353.35	60.70	0.171
353.45	40.40	0.171
353.45	80.40	0.171
353.65	80.50	0.171
333.15	41.00	0.172
333.15	83.00	0.172
333.15	138.00	0.172
333.15	158.00	0.172
333.15	172.00	0.172
333.15	193.00	0.172
353.15	41.00	0.172
353.15	83.00	0.172
353.15	138.00	0.172
353.15	172.00	0.172
353.15	213.00	0.172
373.15	48.00	1
323.1	51.00	1
323.1	100.30	1
323.1	143.80	1
323.2	50.00	1
323.2	100.00	1
323.15	150.00	1
323.2	150.00	1
323.2	200.00	1
323.2	300.00	1
373.1	50.70	1
373.1	104.00	1
373.1	191.40	1
373.2	50.00	1
373.2	100.00	1
373.2	150.00	1
373.15	150.00	1
373.2	200.00	1
373.2	300.00	1
313.31	38.44	2.5
313.31	51.37	2.5
313.31	63.73	2.5
313.31	77.89	2.5
313.31	91.29	2.5
323.15	57.39	2.5
323.15	87.30	2.5
323.15	117.73	2.5
323.15	150.20	2.5
323.15	182.11	2.5
353.07	40.82	2.5
353.07	52.21	2.5
353.07	64.70	2.5
353.07	76.79	2.5
353.07	100.61	2.5
373.15	57.42	2.5
373.15	87.89	2.5
373.15	118.67	2.5
373.15	149.21	2.5
373.15	180.13	2.5
313.38	40.27	4
313.38	59.78	4
313.38	73.78	4
313.38	81.22	4
313.38	90.61	4
323.15	150.00	4
323.15	59.54	4
323.15	89.53	4
323.15	120.17	4
323.15	149.59	4
323.15	179.54	4
373.15	150.00	4
373.15	60.68	4
373.15	89.16	4
373.15	120.03	4
373.15	149.24	4
373.15	181.62	4
323.15	150.00	5
323.2	50.00	5
323.2	100.00	5
323.2	150.00	5
323.2	200.00	5
323.2	300.00	5
373.15	150.00	5
373.2	50.00	5
373.2	100.00	5
373.2	150.00	5
373.2	200.00	5
373.2	300.00	5
323.15	150.00	6
373.15	150.00	6
